Time,Value
35.295,106165
35.314,106092
35.334,106141
35.354,106197
35.374,106173
35.394,106266
35.415,106263
35.435,106201
35.456,106276
35.474,106326
35.495,106208
35.515,106173
35.535,106022
35.555,105820
35.573,105815
35.594,105817
35.615,105812
35.635,105885
35.653,105895
35.674,105794
35.694,105867
35.714,105907
35.734,105911
35.754,106005
35.776,105997
35.794,105903
35.814,105924
35.834,105955
35.855,105922
35.875,106005
35.895,105992
35.915,105919
35.935,105986
35.955,106046
35.975,106040
35.995,106142
36.013,106156
36.034,106069
36.054,106161
36.074,106177
36.095,106161
36.114,106270
36.134,106257
36.154,106186
36.174,106237
36.194,106287
36.215,106277
36.235,106379
36.256,106373
36.274,106330
36.295,106412
36.315,106425
36.335,106319
36.355,106266
36.373,106092
36.394,105890
36.415,105868
36.435,105874
36.453,105819
36.474,105916
36.494,105906
36.514,105808
36.534,105843
36.554,105880
36.576,105870
36.594,105948
36.614,105941
36.634,105836
36.655,105867
36.675,105905
36.695,105850
36.715,105951
36.735,105945
36.755,105871
36.775,105938
36.795,105983
36.813,105992
36.834,106091
36.854,106082
36.874,105993
36.895,106059
36.914,106092
36.934,106078
36.954,106170
36.974,106182
36.994,106087
37.014,106145
37.035,106171
37.056,106146
37.074,106230
37.094,106262
37.115,106152
37.135,106186
37.153,106132
37.173,105950
37.194,105909
37.215,105807
37.233,105628
37.253,105654
37.274,105683
37.294,105638
37.314,105759
37.334,105716
37.354,105627
37.376,105658
37.394,105686
37.414,105671
37.434,105739
37.454,105718
37.475,105621
37.495,105634
37.515,105653
37.535,105612
37.555,105715
37.575,105727
37.595,105660
37.613,105702
37.634,105760
37.654,105746
37.674,105824
37.695,105836
37.714,105759
37.734,105801
37.754,105871
37.774,105849
37.794,105927
37.814,105951
37.835,105863
37.856,105928
37.874,105963
37.894,105950
37.915,106093
37.935,106063
37.955,105878
37.975,105798
37.995,105716
38.017,105585
38.035,105640
38.055,105593
38.075,105532
38.096,105579
38.116,105615
38.134,105589
38.154,105697
38.176,105705
38.196,105633
38.214,105674
38.234,105681
38.254,105660
38.275,105765
38.295,105719
38.315,105641
38.336,105713
38.355,105753
38.375,105739
38.395,105882
38.415,105883
38.435,105800
38.456,105887
38.476,105892
38.497,105908
38.515,106005
38.536,105985
38.556,105898
38.576,105971
38.596,106011
38.616,106003
38.635,106114
38.656,106097
38.676,106035
38.696,106104
38.715,106148
38.735,106138
38.755,106150
38.775,106006
38.795,105759
38.817,105704
38.835,105680
38.855,105621
38.875,105726
38.896,105676
38.916,105596
38.936,105677
38.956,105670
38.977,105657
38.996,105772
39.016,105717
39.036,105661
39.056,105702
39.076,105708
39.097,105685
39.117,105761
39.136,105734
39.156,105687
39.177,105771
39.197,105773
39.215,105810
39.235,105922
39.255,105907
39.276,105850
39.297,105921
39.315,105931
39.335,105957
39.356,106062
39.376,106037
39.396,105969
39.416,106055
39.436,106073
39.458,106091
39.476,106208
39.496,106165
39.516,106103
39.537,106193
39.557,106200
39.577,106197
39.597,106227
39.618,106025
39.637,105800
39.657,105746
39.677,105695
39.697,105668
39.716,105730
39.736,105684
39.756,105621
39.777,105683
39.796,105663
39.816,105672
39.836,105765
39.856,105722
39.876,105645
39.896,105702
39.917,105687
39.938,105667
39.956,105769
39.977,105705
